idx,no_prefix_c1,no_prefix_c2,wait_prefix_c1,wait_prefix_c2,no_c1,no_c2,wait_c1,wait_c2
3393,-5.808553695678711,-5.298480987548828,-6.2778401374816895,-6.053067207336426,-4.071863174438477,-4.045335292816162,-4.3364105224609375,-4.452452659606934
3394,-5.923975467681885,-5.5590410232543945,-5.780506134033203,-5.619143962860107,-4.045335292816162,-4.071863174438477,-4.452452659606934,-4.3364105224609375
3395,-5.808553695678711,-5.298480987548828,-6.216564178466797,-5.861127853393555,-4.071863174438477,-4.045335292816162,-4.2764177322387695,-4.63140344619751
3396,-5.923975467681885,-5.5590410232543945,-5.744318962097168,-5.697727680206299,-4.045335292816162,-4.071863174438477,-4.63140344619751,-4.2764177322387695
3397,-4.411707878112793,-3.8825340270996094,-4.110064506530762,-3.8389720916748047,-2.9296844005584717,-3.1533093452453613,-3.0666861534118652,-3.200258731842041
3398,-4.486114501953125,-3.9745073318481445,-4.340000152587891,-3.7535324096679688,-3.1533093452453613,-2.9296844005584717,-3.200258731842041,-3.0666861534118652
3399,-4.411707878112793,-3.8825340270996094,-6.2778401374816895,-6.053067207336426,-2.9296844005584717,-3.1533093452453613,-4.3364105224609375,-4.452452659606934
3400,-4.486114501953125,-3.9745073318481445,-5.780506134033203,-5.619143962860107,-3.1533093452453613,-2.9296844005584717,-4.452452659606934,-4.3364105224609375
3401,-4.411707878112793,-3.8825340270996094,-6.216564178466797,-5.861127853393555,-2.9296844005584717,-3.1533093452453613,-4.2764177322387695,-4.63140344619751
3402,-4.486114501953125,-3.9745073318481445,-5.744318962097168,-5.697727680206299,-3.1533093452453613,-2.9296844005584717,-4.63140344619751,-4.2764177322387695
3403,-3.704885959625244,-3.7643706798553467,-3.754965305328369,-3.741050958633423,-4.409271240234375,-4.553300857543945,-3.0666861534118652,-3.200258731842041
3404,-4.666930675506592,-3.559220790863037,-4.050487518310547,-3.3053293228149414,-4.553300857543945,-4.409271240234375,-3.200258731842041,-3.0666861534118652
3405,-3.704885959625244,-3.7643706798553467,-6.386325836181641,-6.459226131439209,-4.409271240234375,-4.553300857543945,-4.3364105224609375,-4.452452659606934
3406,-4.666930675506592,-3.559220790863037,-7.100251197814941,-5.695878505706787,-4.553300857543945,-4.409271240234375,-4.452452659606934,-4.3364105224609375
3407,-3.704885959625244,-3.7643706798553467,-6.110437393188477,-5.96762752532959,-4.409271240234375,-4.553300857543945,-4.2764177322387695,-4.63140344619751
